"address","name","symbol"
"district-token-address-DNOM","Decentramon","DNOM"
"district-token-address-GAMP","Greenpoint: A Meeting Point for Grassroots Movements","GAMP"
"district-token-address-TSAR","Toke Social: A resort for cannabis connoisseurs","TSAR"
"district-token-address-BTWO","Bittrex Tomorrow","BTWO"
"district-token-address-AYHC","Anarchy","AYHC"
"district-token-address-VRSD","Virtual Reality Shopping District","VRSD"
"district-token-address-TWCB","The Whale Club","TWCB"
"district-token-address-DMMU","Decentraland Museum","DMMU"
"district-token-address-DKMO","Dragon Kingdom","DKMO"
"district-token-address-DCCY","DCL China City","DCCY"
"0x0f5d2fb29fb7d3cfee444a200298f468908cc942","MANA","MANA"
"district-token-address-TBDN","The Battleground","TBDN"
"district-token-address-VERI","Voltaire","VERI"
"district-token-address-ISTD","innerGlitch - Science, Technology & Discovery","ISTD"
"district-token-address-DUYT","Decentraland University","DUYT"
"district-token-address-FLDN","Festival Land","FLDN"
"district-token-address-ESEM","EcoGames","ESEM"
"district-token-address-SZAH","SF Zone - a home for science fiction fans","SZAH"
"district-token-address-MBUH","MusicHub","MBUH"
"district-token-address-VADF","VARC - A District for All things Architecture","VADF"
"district-token-address-HCYT","Hacker City","HCYT"
"district-token-address-DCYT","Dragon City","DCYT"
"district-token-address-HDTC","Hunted District","HDTC"
"district-token-address-APWC","Amusement Park with Carnival Games","APWC"
"district-token-address-NTOY","NEO TOKYO","NTOY"
"district-token-address-TCVY","The Crypto Valley","TCVY"
"district-token-address-SPAD","Shwedagon Pagoda","SPAD"
"district-token-address-EFEE","E for EVERYONE","EFEE"
"district-token-address-YCRE","Yoga Center","YCRE"
"district-token-address-WTCP","War Thunder Community Park","WTCP"
"district-token-address-DQRE","Design Quarter","DQRE"
"district-token-address-SKMO","Star Kingdom","SKMO"
"district-token-address-DPRO","Democratic People's Republic of Yetepey","DPRO"
"district-token-address-SLBA","SciArt Lab","SLBA"
"district-token-address-LIBT","Little India (Bharat)","LIBT"
"district-token-address-CBDT","Central Business District","CBDT"
"district-token-address-TAIA","The Anarchist International (A-Squat)","TAIA"
"district-token-address-FDCD","Fluffy DC","FDCD"
"district-token-address-SCYT","Star City","SCYT"
"district-token-address-ETNW","Embassy Town","ETNW"
"district-token-address-MRLD","Mother Russia Land","MRLD"
"district-token-address-TFTS","The Forest","TFTS"
"district-token-address-FSTE","Fashion Street","FSTE"
"district-token-address-VCYT","Vegas City","VCYT"
"district-token-address-SDTC","SUREAL District","SDTC"
"district-token-address-FCYT","Freedom city","FCYT"
"district-token-address-VSHR","Virtual Sand Hill Road","VSHR"
"district-token-address-AAFU","Arena: a futuristic urban hotbed of creativity","AAFU"
"district-token-address-TCZE","The Chill Zone","TCZE"
"district-token-address-CDCF","Chobury - Democratic City for All","CDCF"
"district-token-address-APTC","AETHERIAN project","APTC"
"district-token-address-TSAH","Tech Sector: A Home for Developers","TSAH"
"district-token-address-DCCR","Decentraland Conference Center","DCCR"
"district-token-address-EPKR","Engineering Park","EPKR"
"district-token-address-CMEC","Central Marketplace","CMEC"
"district-token-address-RLDT","Red Light District","RLDT"
"district-token-address-AGSN","Alvy Gardens","AGSN"
